cell1,cell2,hicrep
1,304,0.29710569014161
1,165,0.298188970990308
1,163,0.30401744178054
1,14,0.319643944874946
1,11,0.436033110473466
2,472,0.12228721607723
2,9,0.129895447554351
2,214,0.144940300714408
2,224,0.163411110250137
2,200,0.178010395436329
3,253,0.248245041381636
3,177,0.248604897086299
3,314,0.26706447275996
3,11,0.315009502421637
3,135,0.345909163267899
4,250,0.23186925406098
4,304,0.236321320557882
4,14,0.260900030566938
4,11,0.271982251915468
4,165,0.317609856622544
5,19,0.263793865724144
5,183,0.271481339821286
5,82,0.287161609979624
5,68,0.316812563539441
5,253,0.322735726386417
6,14,0.157223087499562
6,197,0.171045705584513
6,383,0.172531428230346
6,133,0.172627700729213
6,13,0.173087922640798
7,67,0.070552091775751
7,214,0.106144436763793
7,119,0.11584462380234
7,358,0.124142858452195
7,30,0.12624316240784
8,97,0.250790734625772
8,435,0.256221892248363
8,253,0.257976383639559
8,68,0.263203858447545
8,421,0.266195107868196
9,66,0.124446614266624
9,312,0.126577255472504
9,2,0.129895447554351
9,57,0.155437796147967
9,83,0.162511769748521
10,112,0.196465732613603
10,11,0.204314734928603
10,159,0.204962005998719
10,14,0.20698992627147
10,68,0.276318802094454
11,133,0.440307863433676
11,13,0.448666040465298
11,165,0.466091744795643
11,220,0.467055809725156
11,14,0.52023822467065
12,203,0.315163219341938
12,106,0.325536869985761
12,14,0.330088444059277
12,165,0.371584018796501
12,11,0.373355416250121
13,220,0.356685808023716
13,90,0.378004882588719
13,14,0.404839444547182
13,250,0.408343753719476
13,11,0.448666040465298
14,220,0.434086249782682
14,133,0.441263941112714
14,182,0.443565284544718
14,165,0.458418066619851
14,11,0.52023822467065
15,251,0.237067834990808
15,68,0.237521393856742
15,253,0.26127036624123
15,150,0.276541659841267
15,430,0.290634520887342
16,280,0.0851909402964903
16,40,0.0904460782240145
16,214,0.0925427750135139
16,493,0.0970511865358561
16,246,0.128195377943265
17,225,0.139709200982852
17,138,0.160292801913335
17,231,0.164083030618352
17,66,0.182442264024524
17,57,0.192947455091909
18,11,0.126989609804201
18,20,0.130028781568601
18,1,0.133472697324612
18,177,0.158731970337254
18,68,0.165532876151207
19,150,0.260353967311092
19,82,0.26097115324541
19,5,0.263793865724144
19,28,0.267053268891455
19,253,0.287165973363032
20,106,0.263124531414158
20,14,0.293987792311527
20,177,0.296691817070692
20,68,0.320339074327875
20,197,0.327536536686327
21,47,0.166182756875221
21,59,0.167317358821554
21,90,0.169424843055689
21,20,0.179185577206152
21,269,0.2098310795154
22,11,0.190836820177466
22,135,0.209919603217623
22,14,0.219268096384314
22,68,0.235901210966215
22,183,0.261095226205006
23,125,0.0949223184469915
23,25,0.0989743342960019
23,49,0.107630596572925
23,40,0.126990762669513
23,469,0.170128682432602
24,233,0.151546699573313
24,158,0.180307968089117
24,40,0.1817029538014
24,39,0.188257445459284
24,31,0.211600902983107
25,420,0.182495937107827
25,236,0.199603876554416
25,469,0.224441933222165
25,30,0.22734751730146
25,266,0.278219075569251
26,64,0.310252544625593
26,11,0.316865871377092
26,172,0.31800467774724
26,165,0.322545304214313
26,14,0.33090114808288
27,85,0.0878986994863393
27,200,0.0934916629515987
27,25,0.103139034217122
27,469,0.116637581213639
27,388,0.120237910897632
28,421,0.287701201351292
28,183,0.299064032234607
28,106,0.299692053948295
28,14,0.300990404078301
28,68,0.326351242368734
29,270,0.219568186676252
29,177,0.22095682220205
29,14,0.252352745188484
29,68,0.270105790620974
29,11,0.330329930946085
30,200,0.139250910398132
30,469,0.141600065273972
30,40,0.14404575563107
30,454,0.172908995145727
30,25,0.22734751730146
31,356,0.218862405934381
31,469,0.228335960087388
31,43,0.228406610260169
31,61,0.249633656084578
31,40,0.312075635536407
32,68,0.155987757412478
32,136,0.159557573944455
32,20,0.182070020781952
32,150,0.187881145959865
32,90,0.18847499704162
33,159,0.193479879227032
33,254,0.195816631673266
33,126,0.212230558896924
33,14,0.243539874610935
33,68,0.267454494990272
34,66,0.11371773244489
34,469,0.11572569213069
34,224,0.121186969682976
34,214,0.129650396967537
34,393,0.137940647026217
35,119,0.0657534855053291
35,370,0.0685123986353413
35,469,0.0698329183895962
35,25,0.0836221341909398
35,272,0.102575092115758
36,493,0.0855899396098517
36,167,0.0877319084406631
36,40,0.0915672120753731
36,398,0.0950375295806671
36,436,0.143051484012785
37,165,0.266840909521876
37,12,0.271466453903719
37,304,0.287267268817917
37,14,0.309918872164228
37,11,0.396723412192826
38,469,0.0997469366193671
38,180,0.114039443142665
38,329,0.120768737182682
38,201,0.145554511237474
38,200,0.153484971502238
39,436,0.157558556997878
39,388,0.162912069542565
39,31,0.166829513901532
39,235,0.179511352405452
39,24,0.188257445459284
40,24,0.1817029538014
40,405,0.188279583746034
40,102,0.198589951818139
40,43,0.223066950748929
40,31,0.312075635536407
41,77,0.0474344756558289
41,2,0.0672522099978466
41,393,0.0694892276738857
41,436,0.0794425134284397
41,40,0.090582625650513
42,150,0.204882069494775
42,157,0.205677055930891
42,65,0.210541316018173
42,59,0.214701084850004
42,281,0.217601266431931
